Date,Close,Open,High,Low,Vol.
2011-05-31,970.1,968.8,973.5,966.8,0.0
2011-06-01,960.1,970.0,970.3,957.2,0.0
2011-06-02,947.1,951.1,954.4,947.1,0.0
2011-06-03,948.2,949.8,950.3,939.7,0.0
2011-06-06,949.5,945.0,952.8,943.8,0.0
2011-06-07,949.8,948.8,954.1,947.2,0.0
2011-06-08,940.8,947.8,949.3,938.0,0.0
2011-06-09,948.4,940.1,949.4,938.5,0.0
2011-06-10,934.3,946.9,950.4,932.4,0.0
2011-06-13,935.0,934.4,938.5,933.3,0.0
2011-06-14,939.8,940.3,943.1,936.7,0.0
2011-06-15,930.0,937.3,939.3,930.0,0.0
2011-06-16,922.9,923.3,926.0,913.9,0.0
2011-06-17,925.5,918.0,928.4,914.0,0.0
2011-06-20,922.1,917.6,924.0,914.6,0.0
2011-06-21,935.3,926.0,936.0,925.4,0.0
2011-06-22,934.9,934.0,937.7,929.9,0.0
2011-06-23,919.0,930.4,931.2,917.0,0.0
2011-06-24,922.8,930.1,934.1,919.8,0.0
2011-06-27,926.7,919.5,927.7,919.5,0.0
2011-06-28,934.0,930.8,938.8,928.5,0.0
2011-06-29,948.4,939.6,950.1,939.2,0.0
2011-06-30,962.9,952.3,963.2,952.1,0.0
2011-07-01,970.0,964.2,971.7,961.3,0.0
2011-07-04,974.5,970.3,976.8,969.2,0.0
2011-07-05,975.6,974.6,977.7,973.7,0.0
2011-07-06,972.2,974.9,975.5,967.2,0.0
2011-07-07,980.5,976.0,983.3,972.5,0.0
2011-07-08,970.2,984.7,985.4,968.5,0.0
2011-07-11,960.2,967.5,971.7,955.3,0.0
2011-07-12,950.5,951.3,955.4,937.8,0.0
2011-07-13,956.2,949.3,957.2,947.2,0.0
