"Date","Price","Open","High","Low","Change %"
"Mar 16, 2021","1.3887","1.3899","1.3908","1.3808","-0.04%"
"Mar 15, 2021","1.3893","1.3920","1.3951","1.3851","-0.21%"
"Mar 12, 2021","1.3922","1.3989","1.4006","1.3863","-0.49%"
"Mar 11, 2021","1.3990","1.3934","1.3995","1.3917","0.43%"
"Mar 10, 2021","1.3930","1.3893","1.3939","1.3845","0.27%"
"Mar 09, 2021","1.3893","1.3827","1.3927","1.3801","0.50%"
"Mar 08, 2021","1.3824","1.3837","1.3866","1.3800","-0.12%"
"Mar 05, 2021","1.3841","1.3896","1.3908","1.3779","-0.38%"
"Mar 04, 2021","1.3894","1.3954","1.4017","1.3879","-0.42%"
"Mar 03, 2021","1.3953","1.3953","1.4008","1.3920","0.00%"
"Mar 02, 2021","1.3953","1.3923","1.3978","1.3858","0.22%"
"Mar 01, 2021","1.3922","1.3939","1.4000","1.3903","-0.07%"
"Feb 26, 2021","1.3932","1.4015","1.4028","1.3887","-0.58%"
"Feb 25, 2021","1.4013","1.4136","1.4182","1.4000","-0.89%"
"Feb 24, 2021","1.4139","1.4110","1.4237","1.4081","0.21%"
"Feb 23, 2021","1.4110","1.4063","1.4117","1.4054","0.35%"
"Feb 22, 2021","1.4061","1.4015","1.4087","1.3980","0.34%"
"Feb 19, 2021","1.4014","1.3975","1.4037","1.3951","0.31%"
"Feb 18, 2021","1.3971","1.3853","1.3987","1.3839","0.85%"
"Feb 17, 2021","1.3853","1.3902","1.3912","1.3829","-0.35%"
"Feb 16, 2021","1.3901","1.3903","1.3952","1.3868","-0.01%"
"Feb 15, 2021","1.3903","1.3846","1.3920","1.3846","0.43%"
"Feb 12, 2021","1.3844","1.3816","1.3864","1.3774","0.21%"
"Feb 11, 2021","1.3815","1.3832","1.3860","1.3800","-0.09%"
"Feb 10, 2021","1.3828","1.3816","1.3867","1.3802","0.10%"
"Feb 09, 2021","1.3814","1.3741","1.3821","1.3736","0.55%"
"Feb 08, 2021","1.3738","1.3729","1.3750","1.3680","0.04%"
